[Epoch 1] [train LL: -6981.9569; val LL: -1350.1048] [train 4.46s; val 1.39s] ✓ improved
[Epoch 22] [train LL: -351.4112; val LL: -369.5821] [train 1.91s; val 0.07s] ✓ improved
[Epoch 23] [train LL: -348.0479; val LL: -367.3022] [train 1.90s; val 0.07s] ✓ improved
[Epoch 24] [train LL: -344.9813; val LL: -365.1775] [train 1.90s; val 0.06s] ✓ improved
[Epoch 25] [train LL: -343.2951; val LL: -363.0386] [train 1.89s; val 0.06s] ✓ improved
[Epoch 26] [train LL: -339.5919; val LL: -361.0881] [train 1.90s; val 0.07s] ✓ improved
[Epoch 27] [train LL: -336.9584; val LL: -359.1556] [train 1.90s; val 0.07s] ✓ improved
[Epoch 28] [train LL: -335.6887; val LL: -357.3270] [train 1.90s; val 0.06s] ✓ improved
[Epoch 29] [train LL: -333.5278; val LL: -355.6591] [train 1.90s; val 0.06s] ✓ improved
[Epoch 30] [train LL: -330.6621; val LL: -354.1821] [train 1.91s; val 0.07s] ✓ improved
[Epoch 31] [train LL: -330.2044; val LL: -352.7843] [train 1.91s; val 0.06s] ✓ improved
[Epoch 32] [train LL: -326.7707; val LL: -351.4778] [train 1.90s; val 0.06s] ✓ improved
[Epoch 33] [train LL: -326.7449; val LL: -350.2902] [train 1.90s; val 0.06s] ✓ improved
[Epoch 34] [train LL: -324.1979; val LL: -349.4075] [train 1.90s; val 0.07s] ✓ improved
[Epoch 35] [train LL: -322.4377; val LL: -348.3325] [train 1.89s; val 0.06s] ✓ improved
[Epoch 36] [train LL: -322.6745; val LL: -347.3123] [train 1.91s; val 0.07s] ✓ improved
[Epoch 37] [train LL: -318.7908; val LL: -346.3063] [train 1.90s; val 0.06s] ✓ improved
[Epoch 38] [train LL: -318.7357; val LL: -345.2742] [train 1.90s; val 0.07s] ✓ improved
[Epoch 39] [train LL: -317.7334; val LL: -344.2521] [train 1.90s; val 0.07s] ✓ improved
[Epoch 40] [train LL: -316.0023; val LL: -343.3119] [train 1.91s; val 0.07s] ✓ improved
[Epoch 41] [train LL: -314.6902; val LL: -342.3372] [train 1.90s; val 0.06s] ✓ improved
[Epoch 42] [train LL: -313.3018; val LL: -341.3274] [train 1.90s; val 0.07s] ✓ improved
[Epoch 43] [train LL: -311.9206; val LL: -340.2766] [train 1.89s; val 0.07s] ✓ improved
[Epoch 44] [train LL: -310.2110; val LL: -339.1830] [train 1.91s; val 0.06s] ✓ improved
[Epoch 45] [train LL: -310.0500; val LL: -338.1173] [train 1.90s; val 0.06s] ✓ improved
[Epoch 46] [train LL: -308.1110; val LL: -337.1147] [train 1.90s; val 0.07s] ✓ improved
[Epoch 47] [train LL: -307.3196; val LL: -336.2378] [train 1.90s; val 0.06s] ✓ improved
[Epoch 48] [train LL: -305.2856; val LL: -335.2689] [train 1.90s; val 0.07s] ✓ improved
[Epoch 49] [train LL: -304.8671; val LL: -334.4471] [train 1.91s; val 0.07s] ✓ improved
[Epoch 50] [train LL: -304.2462; val LL: -333.6598] [train 1.89s; val 0.06s] ✓ improved
[Epoch 51] [train LL: -302.5037; val LL: -332.9508] [train 1.87s; val 0.06s] ✓ improved
[Epoch 52] [train LL: -300.6124; val LL: -332.4009] [train 1.86s; val 0.06s] ✓ improved
[Epoch 53] [train LL: -300.9555; val LL: -331.8366] [train 1.87s; val 0.06s] ✓ improved
[Epoch 54] [train LL: -299.9365; val LL: -331.2989] [train 1.88s; val 0.06s] ✓ improved
[Epoch 55] [train LL: -298.9959; val LL: -330.7687] [train 1.87s; val 0.06s] ✓ improved
[Epoch 56] [train LL: -298.1602; val LL: -330.1163] [train 1.87s; val 0.06s] ✓ improved
[Epoch 57] [train LL: -297.9777; val LL: -329.5638] [train 1.88s; val 0.06s] ✓ improved
[Epoch 58] [train LL: -296.6866; val LL: -329.0254] [train 1.87s; val 0.06s] ✓ improved
[Epoch 59] [train LL: -295.8294; val LL: -328.3625] [train 1.87s; val 0.06s] ✓ improved
[Epoch 60] [train LL: -295.1496; val LL: -327.7198] [train 1.87s; val 0.06s] ✓ improved
[Epoch 61] [train LL: -294.7999; val LL: -326.9140] [train 1.87s; val 0.06s] ✓ improved
[Epoch 62] [train LL: -294.0481; val LL: -326.5970] [train 1.87s; val 0.06s] ✓ improved
[Epoch 63] [train LL: -293.2775; val LL: -325.9810] [train 1.87s; val 0.06s] ✓ improved
[Epoch 64] [train LL: -292.3393; val LL: -325.1684] [train 1.87s; val 0.06s] ✓ improved
[Epoch 65] [train LL: -291.6390; val LL: -324.7578] [train 1.88s; val 0.06s] ✓ improved
[Epoch 66] [train LL: -289.2289; val LL: -324.1458] [train 1.88s; val 0.06s] ✓ improved
[Epoch 67] [train LL: -289.1678; val LL: -323.6026] [train 1.87s; val 0.06s] ✓ improved
[Epoch 68] [train LL: -289.1053; val LL: -322.7462] [train 1.86s; val 0.06s] ✓ improved
[Epoch 69] [train LL: -288.0892; val LL: -322.2895] [train 1.87s; val 0.06s] ✓ improved
[Epoch 70] [train LL: -286.7495; val LL: -321.6982] [train 1.87s; val 0.06s] ✓ improved
[Epoch 71] [train LL: -286.8821; val LL: -321.0561] [train 1.87s; val 0.06s] ✓ improved
[Epoch 72] [train LL: -285.0228; val LL: -320.6098] [train 1.87s; val 0.06s] ✓ improved
[Epoch 73] [train LL: -285.2321; val LL: -320.1154] [train 1.88s; val 0.06s] ✓ improved
[Epoch 74] [train LL: -284.4574; val LL: -319.6807] [train 1.88s; val 0.06s] ✓ improved
[Epoch 75] [train LL: -283.9447; val LL: -319.5169] [train 1.88s; val 0.06s] ✓ improved
[Epoch 76] [train LL: -283.3556; val LL: -319.1015] [train 1.86s; val 0.06s] ✓ improved
[Epoch 77] [train LL: -282.5993; val LL: -318.6114] [train 1.87s; val 0.06s] ✓ improved
[Epoch 78] [train LL: -281.6430; val LL: -318.0115] [train 1.88s; val 0.06s] ✓ improved
[Epoch 79] [train LL: -281.6847; val LL: -317.6555] [train 1.88s; val 0.06s] ✓ improved
[Epoch 80] [train LL: -281.4373; val LL: -317.3653] [train 1.88s; val 0.06s] ✓ improved
[Epoch 81] [train LL: -280.8281; val LL: -317.0265] [train 1.88s; val 0.06s] ✓ improved
[Epoch 82] [train LL: -279.3723; val LL: -316.6078] [train 1.88s; val 0.06s] ✓ improved
[Epoch 83] [train LL: -279.1958; val LL: -316.7333] [train 1.88s; val 0.06s] no improve (1/50)
[Epoch 84] [train LL: -278.7474; val LL: -316.2174] [train 1.88s; val 0.06s] ✓ improved
[Epoch 85] [train LL: -279.0603; val LL: -316.0019] [train 1.89s; val 0.06s] ✓ improved
[Epoch 86] [train LL: -278.2522; val LL: -315.5548] [train 1.87s; val 0.06s] ✓ improved
[Epoch 87] [train LL: -277.3969; val LL: -315.1633] [train 1.88s; val 0.06s] ✓ improved
[Epoch 88] [train LL: -277.1398; val LL: -314.4035] [train 1.88s; val 0.06s] ✓ improved
[Epoch 89] [train LL: -276.5000; val LL: -314.3115] [train 1.87s; val 0.06s] ✓ improved
[Epoch 90] [train LL: -276.4218; val LL: -313.9511] [train 1.89s; val 0.06s] ✓ improved
[Epoch 91] [train LL: -276.0049; val LL: -313.2433] [train 1.88s; val 0.06s] ✓ improved
[Epoch 92] [train LL: -274.7146; val LL: -313.1968] [train 1.88s; val 0.06s] ✓ improved
[Epoch 93] [train LL: -275.2210; val LL: -312.9779] [train 1.88s; val 0.06s] ✓ improved
[Epoch 94] [train LL: -274.9636; val LL: -312.6626] [train 1.88s; val 0.06s] ✓ improved
[Epoch 95] [train LL: -272.7923; val LL: -312.2466] [train 1.89s; val 0.06s] ✓ improved
[Epoch 96] [train LL: -272.9040; val LL: -311.9093] [train 1.87s; val 0.06s] ✓ improved
[Epoch 97] [train LL: -272.8918; val LL: -311.5785] [train 1.89s; val 0.06s] ✓ improved
[Epoch 98] [train LL: -273.6273; val LL: -311.3560] [train 1.88s; val 0.06s] ✓ improved
[Epoch 99] [train LL: -271.7256; val LL: -310.9855] [train 1.88s; val 0.06s] ✓ improved
[Epoch 100] [train LL: -272.7383; val LL: -310.7687] [train 1.88s; val 0.06s] ✓ improved
[Epoch 101] [train LL: -270.6800; val LL: -310.5713] [train 1.89s; val 0.06s] ✓ improved
[Epoch 102] [train LL: -272.0834; val LL: -310.4707] [train 1.87s; val 0.06s] ✓ improved
[Epoch 103] [train LL: -270.3391; val LL: -310.1911] [train 1.88s; val 0.06s] ✓ improved
[Epoch 104] [train LL: -271.2409; val LL: -309.9733] [train 1.90s; val 0.06s] ✓ improved
[Epoch 105] [train LL: -269.8585; val LL: -309.4350] [train 1.87s; val 0.06s] ✓ improved
[Epoch 106] [train LL: -269.0414; val LL: -309.5245] [train 1.87s; val 0.06s] no improve (1/50)
[Epoch 107] [train LL: -269.5626; val LL: -309.3726] [train 1.87s; val 0.06s] ✓ improved
[Epoch 108] [train LL: -268.7239; val LL: -309.2593] [train 1.89s; val 0.06s] ✓ improved
[Epoch 109] [train LL: -269.2132; val LL: -308.7098] [train 1.89s; val 0.07s] ✓ improved
[Epoch 110] [train LL: -267.9079; val LL: -308.8763] [train 1.88s; val 0.06s] no improve (1/50)
[Epoch 111] [train LL: -268.7145; val LL: -308.7396] [train 1.88s; val 0.06s] no improve (2/50)
[Epoch 112] [train LL: -268.5085; val LL: -308.2839] [train 1.88s; val 0.06s] ✓ improved
[Epoch 113] [train LL: -268.0417; val LL: -308.4262] [train 1.90s; val 0.06s] no improve (1/50)
[Epoch 114] [train LL: -267.3911; val LL: -307.8647] [train 1.89s; val 0.06s] ✓ improved
[Epoch 115] [train LL: -267.3640; val LL: -308.0190] [train 1.89s; val 0.06s] no improve (1/50)
[Epoch 116] [train LL: -266.4461; val LL: -308.0177] [train 1.89s; val 0.06s] no improve (2/50)
[Epoch 117] [train LL: -266.8567; val LL: -307.8879] [train 1.88s; val 0.06s] no improve (3/50)
[Epoch 118] [train LL: -266.7285; val LL: -307.6500] [train 1.87s; val 0.06s] ✓ improved
[Epoch 119] [train LL: -266.2166; val LL: -307.3971] [train 1.87s; val 0.06s] ✓ improved
[Epoch 120] [train LL: -266.1112; val LL: -307.3116] [train 1.87s; val 0.06s] ✓ improved
[Epoch 121] [train LL: -265.5120; val LL: -307.4007] [train 1.88s; val 0.06s] no improve (1/50)
[Epoch 122] [train LL: -265.5124; val LL: -306.9108] [train 1.88s; val 0.06s] ✓ improved
[Epoch 123] [train LL: -265.8922; val LL: -307.1425] [train 1.87s; val 0.06s] no improve (1/50)
[Epoch 124] [train LL: -265.4960; val LL: -307.0469] [train 1.87s; val 0.06s] no improve (2/50)
[Epoch 125] [train LL: -265.0540; val LL: -306.8365] [train 1.87s; val 0.06s] ✓ improved
[Epoch 126] [train LL: -265.5110; val LL: -306.6930] [train 1.87s; val 0.06s] ✓ improved
[Epoch 127] [train LL: -264.4724; val LL: -306.4796] [train 1.87s; val 0.06s] ✓ improved
[Epoch 128] [train LL: -263.7802; val LL: -306.3582] [train 1.88s; val 0.06s] ✓ improved
[Epoch 129] [train LL: -264.7712; val LL: -306.0804] [train 1.88s; val 0.06s] ✓ improved
[Epoch 130] [train LL: -263.8060; val LL: -305.8872] [train 1.87s; val 0.06s] ✓ improved
[Epoch 131] [train LL: -263.3886; val LL: -305.9324] [train 1.87s; val 0.06s] no improve (1/50)
[Epoch 132] [train LL: -263.4458; val LL: -305.6898] [train 1.86s; val 0.06s] ✓ improved
[Epoch 133] [train LL: -262.7725; val LL: -305.5142] [train 1.87s; val 0.06s] ✓ improved
[Epoch 134] [train LL: -262.2569; val LL: -305.3494] [train 1.88s; val 0.06s] ✓ improved
[Epoch 135] [train LL: -262.7889; val LL: -305.2200] [train 1.88s; val 0.07s] ✓ improved
[Epoch 136] [train LL: -262.3164; val LL: -304.9814] [train 1.88s; val 0.07s] ✓ improved
[Epoch 137] [train LL: -263.3994; val LL: -304.6278] [train 1.89s; val 0.06s] ✓ improved
[Epoch 138] [train LL: -261.8655; val LL: -304.6334] [train 1.88s; val 0.07s] no improve (1/50)
[Epoch 139] [train LL: -261.5371; val LL: -304.5593] [train 1.87s; val 0.06s] ✓ improved
[Epoch 140] [train LL: -261.2599; val LL: -304.4559] [train 1.87s; val 0.06s] ✓ improved
[Epoch 141] [train LL: -261.6359; val LL: -304.2686] [train 1.87s; val 0.06s] ✓ improved
[Epoch 142] [train LL: -261.6542; val LL: -304.1006] [train 1.88s; val 0.06s] ✓ improved
[Epoch 143] [train LL: -260.6140; val LL: -304.0054] [train 1.87s; val 0.06s] ✓ improved
[Epoch 144] [train LL: -261.3540; val LL: -303.9890] [train 1.88s; val 0.06s] ✓ improved
[Epoch 145] [train LL: -260.8166; val LL: -303.9140] [train 1.87s; val 0.06s] ✓ improved
[Epoch 146] [train LL: -260.7373; val LL: -303.7260] [train 1.87s; val 0.06s] ✓ improved
[Epoch 147] [train LL: -260.2399; val LL: -303.6308] [train 1.87s; val 0.06s] ✓ improved
[Epoch 148] [train LL: -260.4431; val LL: -303.2157] [train 1.87s; val 0.06s] ✓ improved
[Epoch 149] [train LL: -259.3973; val LL: -303.3345] [train 1.87s; val 0.06s] no improve (1/50)
[Epoch 150] [train LL: -260.8326; val LL: -303.0882] [train 1.87s; val 0.06s] ✓ improved
[Epoch 151] [train LL: -259.7013; val LL: -302.9196] [train 1.88s; val 0.06s] ✓ improved
[Epoch 152] [train LL: -259.0437; val LL: -302.6289] [train 1.87s; val 0.06s] ✓ improved
[Epoch 153] [train LL: -258.5830; val LL: -302.1602] [train 1.88s; val 0.06s] ✓ improved
[Epoch 154] [train LL: -258.7808; val LL: -302.3270] [train 1.87s; val 0.06s] no improve (1/50)
[Epoch 155] [train LL: -258.2417; val LL: -302.1416] [train 1.87s; val 0.06s] ✓ improved
[Epoch 156] [train LL: -258.2890; val LL: -301.9368] [train 1.88s; val 0.06s] ✓ improved
[Epoch 157] [train LL: -258.7782; val LL: -301.4044] [train 1.87s; val 0.06s] ✓ improved
[Epoch 158] [train LL: -258.5811; val LL: -301.4738] [train 1.88s; val 0.06s] no improve (1/50)
[Epoch 159] [train LL: -257.6077; val LL: -301.3989] [train 1.88s; val 0.06s] ✓ improved
[Epoch 160] [train LL: -258.4368; val LL: -301.2181] [train 1.88s; val 0.06s] ✓ improved
[Epoch 161] [train LL: -256.2919; val LL: -301.0420] [train 1.87s; val 0.06s] ✓ improved
[Epoch 162] [train LL: -256.9580; val LL: -300.9417] [train 1.87s; val 0.06s] ✓ improved
[Epoch 163] [train LL: -256.6972; val LL: -300.7163] [train 1.87s; val 0.06s] ✓ improved
[Epoch 164] [train LL: -256.4209; val LL: -300.6872] [train 1.87s; val 0.06s] ✓ improved
[Epoch 165] [train LL: -256.8481; val LL: -300.4647] [train 1.88s; val 0.06s] ✓ improved
[Epoch 166] [train LL: -255.9200; val LL: -300.4131] [train 1.88s; val 0.06s] ✓ improved
[Epoch 167] [train LL: -255.6342; val LL: -300.4158] [train 1.87s; val 0.06s] no improve (1/50)
[Epoch 168] [train LL: -256.4909; val LL: -300.1785] [train 1.87s; val 0.06s] ✓ improved
[Epoch 169] [train LL: -256.8677; val LL: -300.0531] [train 1.87s; val 0.06s] ✓ improved
[Epoch 170] [train LL: -256.3924; val LL: -299.9227] [train 1.88s; val 0.06s] ✓ improved
[Epoch 171] [train LL: -255.6670; val LL: -299.8280] [train 1.87s; val 0.06s] ✓ improved
[Epoch 172] [train LL: -255.4296; val LL: -299.5180] [train 1.87s; val 0.06s] ✓ improved
[Epoch 173] [train LL: -255.0694; val LL: -299.0185] [train 1.88s; val 0.06s] ✓ improved
[Epoch 174] [train LL: -255.0433; val LL: -298.8164] [train 1.88s; val 0.06s] ✓ improved
[Epoch 175] [train LL: -254.5079; val LL: -298.6676] [train 1.87s; val 0.06s] ✓ improved
[Epoch 176] [train LL: -255.0256; val LL: -298.7701] [train 1.88s; val 0.06s] no improve (1/50)
[Epoch 177] [train LL: -253.8321; val LL: -298.7545] [train 1.87s; val 0.06s] no improve (2/50)
[Epoch 178] [train LL: -254.3388; val LL: -298.6710] [train 1.87s; val 0.06s] no improve (3/50)
[Epoch 179] [train LL: -253.9876; val LL: -298.2567] [train 1.87s; val 0.06s] ✓ improved
[Epoch 180] [train LL: -253.2200; val LL: -298.4214] [train 1.87s; val 0.06s] no improve (1/50)
[Epoch 181] [train LL: -252.7295; val LL: -298.4750] [train 1.87s; val 0.06s] no improve (2/50)
[Epoch 182] [train LL: -252.6660; val LL: -298.3036] [train 1.87s; val 0.06s] no improve (3/50)
[Epoch 183] [train LL: -253.6608; val LL: -298.2160] [train 1.87s; val 0.06s] ✓ improved
[Epoch 184] [train LL: -252.9928; val LL: -298.1329] [train 1.88s; val 0.06s] ✓ improved
[Epoch 185] [train LL: -253.3524; val LL: -297.9823] [train 1.88s; val 0.06s] ✓ improved
[Epoch 186] [train LL: -253.2490; val LL: -297.7965] [train 1.87s; val 0.06s] ✓ improved
[Epoch 187] [train LL: -252.6037; val LL: -297.7948] [train 1.86s; val 0.06s] ✓ improved
[Epoch 188] [train LL: -252.9182; val LL: -297.7781] [train 1.87s; val 0.06s] ✓ improved
[Epoch 189] [train LL: -252.7153; val LL: -297.6639] [train 1.87s; val 0.06s] ✓ improved
[Epoch 190] [train LL: -252.4155; val LL: -297.6455] [train 1.88s; val 0.06s] ✓ improved
[Epoch 191] [train LL: -252.4622; val LL: -297.5565] [train 1.87s; val 0.06s] ✓ improved
[Epoch 192] [train LL: -252.3463; val LL: -297.4208] [train 1.88s; val 0.06s] ✓ improved
[Epoch 193] [train LL: -251.8294; val LL: -297.3401] [train 1.89s; val 0.06s] ✓ improved
[Epoch 194] [train LL: -251.8176; val LL: -297.2531] [train 1.88s; val 0.06s] ✓ improved
[Epoch 195] [train LL: -251.9514; val LL: -297.1251] [train 1.87s; val 0.06s] ✓ improved
[Epoch 196] [train LL: -252.8508; val LL: -296.7867] [train 1.87s; val 0.06s] ✓ improved
[Epoch 197] [train LL: -251.2014; val LL: -296.8771] [train 1.87s; val 0.06s] no improve (1/50)
[Epoch 198] [train LL: -251.6914; val LL: -296.6671] [train 1.87s; val 0.06s] ✓ improved
[Epoch 199] [train LL: -250.2971; val LL: -296.5296] [train 1.87s; val 0.06s] ✓ improved
[Epoch 200] [train LL: -250.1048; val LL: -296.4763] [train 1.88s; val 0.06s] ✓ improved
[Epoch 201] [train LL: -250.0294; val LL: -296.3221] [train 1.88s; val 0.06s] ✓ improved
[Epoch 202] [train LL: -251.1394; val LL: -296.3884] [train 1.87s; val 0.06s] no improve (1/50)
[Epoch 203] [train LL: -251.1067; val LL: -296.2371] [train 1.87s; val 0.06s] ✓ improved
[Epoch 204] [train LL: -250.6945; val LL: -296.1360] [train 1.88s; val 0.06s] ✓ improved
[Epoch 205] [train LL: -250.2972; val LL: -295.9043] [train 1.87s; val 0.06s] ✓ improved
[Epoch 206] [train LL: -250.8529; val LL: -295.8490] [train 1.87s; val 0.06s] ✓ improved
[Epoch 207] [train LL: -251.1945; val LL: -295.7231] [train 1.87s; val 0.06s] ✓ improved
[Epoch 208] [train LL: -249.6661; val LL: -295.5823] [train 1.87s; val 0.06s] ✓ improved
[Epoch 209] [train LL: -249.3487; val LL: -295.5088] [train 1.87s; val 0.06s] ✓ improved
[Epoch 210] [train LL: -250.0377; val LL: -295.3756] [train 1.88s; val 0.06s] ✓ improved
[Epoch 211] [train LL: -249.3547; val LL: -295.2287] [train 1.87s; val 0.06s] ✓ improved
[Epoch 212] [train LL: -249.4965; val LL: -295.2988] [train 1.87s; val 0.06s] no improve (1/50)
[Epoch 213] [train LL: -248.7904; val LL: -294.9823] [train 1.88s; val 0.06s] ✓ improved
[Epoch 214] [train LL: -248.6306; val LL: -294.8277] [train 1.88s; val 0.06s] ✓ improved
[Epoch 215] [train LL: -248.2586; val LL: -294.5453] [train 1.87s; val 0.06s] ✓ improved
[Epoch 216] [train LL: -249.5420; val LL: -294.5640] [train 1.88s; val 0.06s] no improve (1/50)
[Epoch 217] [train LL: -248.6232; val LL: -294.4345] [train 1.91s; val 0.07s] ✓ improved
[Epoch 218] [train LL: -248.5540; val LL: -294.4066] [train 1.91s; val 0.07s] ✓ improved
[Epoch 219] [train LL: -248.2476; val LL: -294.3057] [train 1.91s; val 0.07s] ✓ improved
[Epoch 220] [train LL: -247.9989; val LL: -294.1677] [train 1.91s; val 0.07s] ✓ improved
[Epoch 221] [train LL: -247.2633; val LL: -294.1226] [train 1.92s; val 0.07s] ✓ improved
[Epoch 222] [train LL: -247.0578; val LL: -293.7350] [train 1.92s; val 0.07s] ✓ improved
[Epoch 223] [train LL: -247.5362; val LL: -293.7123] [train 1.91s; val 0.07s] ✓ improved
[Epoch 224] [train LL: -247.7527; val LL: -293.6032] [train 1.92s; val 0.07s] ✓ improved
[Epoch 225] [train LL: -247.3743; val LL: -293.5665] [train 1.91s; val 0.07s] ✓ improved
[Epoch 226] [train LL: -246.8281; val LL: -293.4456] [train 1.91s; val 0.07s] ✓ improved
[Epoch 227] [train LL: -246.8383; val LL: -293.4111] [train 1.91s; val 0.07s] ✓ improved
[Epoch 228] [train LL: -247.9827; val LL: -293.4434] [train 1.92s; val 0.07s] no improve (1/50)
[Epoch 229] [train LL: -247.2616; val LL: -293.3038] [train 1.91s; val 0.07s] ✓ improved
[Epoch 230] [train LL: -246.9621; val LL: -293.2895] [train 1.91s; val 0.06s] ✓ improved
[Epoch 231] [train LL: -247.5459; val LL: -293.1603] [train 1.91s; val 0.06s] ✓ improved
[Epoch 232] [train LL: -247.3785; val LL: -293.5972] [train 1.91s; val 0.06s] no improve (1/50)
[Epoch 233] [train LL: -247.0049; val LL: -293.4019] [train 1.91s; val 0.06s] no improve (2/50)
[Epoch 234] [train LL: -246.8875; val LL: -293.4431] [train 1.91s; val 0.07s] no improve (3/50)
[Epoch 235] [train LL: -247.2265; val LL: -292.9819] [train 1.90s; val 0.07s] ✓ improved
[Epoch 236] [train LL: -246.7789; val LL: -293.1307] [train 1.91s; val 0.07s] no improve (1/50)
[Epoch 237] [train LL: -247.4251; val LL: -293.0471] [train 1.91s; val 0.06s] no improve (2/50)
[Epoch 238] [train LL: -246.9693; val LL: -292.8246] [train 1.91s; val 0.07s] ✓ improved
[Epoch 239] [train LL: -246.5291; val LL: -292.9520] [train 1.91s; val 0.07s] no improve (1/50)
[Epoch 240] [train LL: -246.6966; val LL: -292.8556] [train 1.91s; val 0.06s] no improve (2/50)
[Epoch 241] [train LL: -245.7046; val LL: -292.8435] [train 1.91s; val 0.06s] no improve (3/50)
[Epoch 242] [train LL: -246.1513; val LL: -292.3830] [train 1.91s; val 0.07s] ✓ improved
[Epoch 243] [train LL: -245.9026; val LL: -292.3485] [train 1.91s; val 0.06s] ✓ improved
[Epoch 244] [train LL: -245.6960; val LL: -292.6062] [train 1.91s; val 0.07s] no improve (1/50)
[Epoch 245] [train LL: -245.6483; val LL: -292.4642] [train 1.90s; val 0.06s] no improve (2/50)
[Epoch 246] [train LL: -245.7798; val LL: -292.2560] [train 1.90s; val 0.06s] ✓ improved
[Epoch 247] [train LL: -244.6236; val LL: -292.1475] [train 1.92s; val 0.07s] ✓ improved
[Epoch 248] [train LL: -244.4868; val LL: -291.9259] [train 1.90s; val 0.06s] ✓ improved
[Epoch 249] [train LL: -245.8092; val LL: -291.9647] [train 1.91s; val 0.06s] no improve (1/50)
[Epoch 250] [train LL: -245.0335; val LL: -291.8493] [train 1.91s; val 0.06s] ✓ improved
[Epoch 251] [train LL: -244.8465; val LL: -291.7905] [train 1.92s; val 0.07s] ✓ improved
[Epoch 252] [train LL: -245.0856; val LL: -291.3054] [train 1.91s; val 0.06s] ✓ improved
[Epoch 253] [train LL: -245.2630; val LL: -291.1051] [train 1.91s; val 0.06s] ✓ improved
[Epoch 254] [train LL: -244.7880; val LL: -291.0095] [train 1.91s; val 0.07s] ✓ improved
[Epoch 255] [train LL: -243.9090; val LL: -290.9933] [train 1.91s; val 0.06s] ✓ improved
[Epoch 256] [train LL: -244.7704; val LL: -291.1276] [train 1.91s; val 0.07s] no improve (1/50)
[Epoch 257] [train LL: -244.7965; val LL: -290.9287] [train 1.91s; val 0.07s] ✓ improved
[Epoch 258] [train LL: -242.9603; val LL: -291.1284] [train 1.91s; val 0.07s] no improve (1/50)
[Epoch 259] [train LL: -243.5684; val LL: -290.9783] [train 1.90s; val 0.06s] no improve (2/50)
[Epoch 260] [train LL: -243.4932; val LL: -291.1557] [train 1.92s; val 0.06s] no improve (3/50)
[Epoch 261] [train LL: -244.4534; val LL: -291.1187] [train 1.95s; val 0.06s] no improve (4/50)
[Epoch 262] [train LL: -243.8146; val LL: -291.1541] [train 1.92s; val 0.06s] no improve (5/50)
[Epoch 263] [train LL: -243.7343; val LL: -291.1183] [train 1.91s; val 0.07s] no improve (6/50)
[Epoch 264] [train LL: -242.9189; val LL: -291.0296] [train 1.91s; val 0.07s] no improve (7/50)
[Epoch 265] [train LL: -243.4894; val LL: -290.8557] [train 1.91s; val 0.06s] ✓ improved
[Epoch 266] [train LL: -243.8299; val LL: -290.6642] [train 1.92s; val 0.06s] ✓ improved
[Epoch 267] [train LL: -242.9257; val LL: -290.9032] [train 1.87s; val 0.06s] no improve (1/50)
[Epoch 268] [train LL: -244.1854; val LL: -291.1356] [train 1.87s; val 0.07s] no improve (2/50)
[Epoch 269] [train LL: -242.8344; val LL: -290.6599] [train 1.87s; val 0.06s] ✓ improved
[Epoch 270] [train LL: -243.3830; val LL: -290.4920] [train 1.89s; val 0.06s] ✓ improved
[Epoch 271] [train LL: -243.1304; val LL: -290.7946] [train 1.88s; val 0.06s] no improve (1/50)
